instance,k,judicious,naive
59s,2,33,240
59s,4,129,673
59s,8,223,1520
59s,12,333,2291
59s,16,470,3051
59s,24,751,4148
59s,32,1160,5045
59s,48,1210,6083
59s,64,1210,6740
59s,96,1210,7606
59s,128,1210,7896
59s,160,1210,8449
59s,200,1210,8449
59s,256,1210,8449
59s,384,1210,8449
59s,512,1210,8449
59s,768,1210,8449
59s,1024,1210,8449
59s,1536,1210,8449
59s,2048,1210,8449
59s,3072,1210,8449
59s,4096,1210,8449
59s,8192,1210,8449
404s,2,669,996
404s,4,1662,2759
404s,8,3158,6148
404s,12,4640,9523
404s,16,6150,12870
404s,24,9123,19460
404s,32,12048,26165
404s,48,18032,38632
404s,64,24010,50203
404s,96,35832,68922
404s,128,41293,83492
404s,160,41293,96015
404s,200,41293,112802
404s,256,41293,132635
404s,384,41293,172563
404s,512,41293,210721
404s,768,41293,233851
404s,1024,41293,233851
404s,1536,41293,233851
404s,2048,41293,233851
404s,3072,41293,233851
404s,4096,41293,233851
404s,8192,41293,233851
128s,2,100,397
128s,4,411,1075
128s,8,873,2484
128s,12,1295,3851
128s,16,1730,5153
128s,24,2610,7052
128s,32,3339,8566
128s,48,5213,11215
128s,64,7035,13299
128s,96,8910,16641
128s,128,8910,18972
128s,160,8910,21083
128s,200,8910,24201
128s,256,8910,24534
128s,384,8910,24534
128s,512,8910,24534
128s,768,8910,24534
128s,1024,8910,24534
128s,1536,8910,24534
128s,2048,8910,24534
128s,3072,8910,24534
128s,4096,8910,24534
128s,8192,8910,24534
59l,2,372,959
59l,4,1009,2250
59l,8,1834,3823
59l,12,2338,5112
59l,16,2783,6151
59l,24,3495,8283
59l,32,4045,10029
59l,48,5050,13764
59l,64,5864,17134
59l,96,7299,23266
59l,128,8557,29345
59l,160,9787,34846
59l,200,11271,40714
59l,256,13259,48198
59l,384,18119,60860
59l,512,23539,70330
59l,768,34707,83598
59l,1024,44319,91682
59l,1536,44319,102298
59l,2048,44319,111218
59l,3072,44319,114226
59l,4096,44319,114226
59l,8192,44319,114226
404l,2,1944,2920
404l,4,5123,7889
404l,8,9796,14352
404l,12,12594,20180
404l,16,15629,25231
404l,24,20341,34859
404l,32,24351,44727
404l,48,31877,62410
404l,64,38946,79786
404l,96,51533,113360
404l,128,63054,144892
404l,160,74405,174314
404l,200,88466,204901
404l,256,107121,243947
404l,384,151164,318883
404l,512,195950,377883
404l,768,287497,477351
404l,1024,380665,557706
404l,1536,543860,680805
404l,2048,543860,802466
404l,3072,543860,828074
404l,4096,543860,828074
404l,8192,543860,828074
128l,2,1211,2370
128l,4,3371,5721
128l,8,6726,10578
128l,12,9442,14514
128l,16,11812,17695
128l,24,14768,23213
128l,32,17952,27949
128l,48,22897,36387
128l,64,26570,44117
128l,96,33171,58105
128l,128,38409,71094
128l,160,43354,83645
128l,200,48641,97136
128l,256,55622,114726
128l,384,70017,148296
128l,512,83199,175091
128l,768,109285,211171
128l,1024,135063,237183
128l,1536,186931,276936
128l,2048,242777,301207
128l,3072,315712,345940
128l,4096,315712,345940
128l,8192,315712,345940
sm_part24_11756,2,11735,30031
sm_part24_11756,4,28052,67555
sm_part24_11756,8,56051,113704
sm_part24_11756,12,76738,145961
sm_part24_11756,16,94294,170970
sm_part24_11756,24,122134,210494
sm_part24_11756,32,143402,240552
sm_part24_11756,48,173347,287547
sm_part24_11756,64,196389,323078
sm_part24_11756,96,233837,377325
sm_part24_11756,128,264901,418826
sm_part24_11756,160,288510,451606
sm_part24_11756,200,312763,486599
sm_part24_11756,256,342973,524958
sm_part24_11756,384,393994,590988
sm_part24_11756,512,431275,639120
sm_part24_11756,768,488327,709412
sm_part24_11756,1024,532244,760111
sm_part24_11756,1536,601956,838820
