instance,k,judicious,naive
sm_part24_11756,2048,663057,899291
sm_part24_11756,3072,767229,1001011
sm_part24_11756,4096,864630,1086005
sm_part24_11756,8192,1231714,1353655
sm_part12_20753,2,11192,42766
sm_part12_20753,4,22939,94976
sm_part12_20753,8,55955,158953
sm_part12_20753,12,83662,203433
sm_part12_20753,16,105480,237354
sm_part12_20753,24,140325,290442
sm_part12_20753,32,166512,331457
sm_part12_20753,48,206627,393870
sm_part12_20753,64,237660,442242
sm_part12_20753,96,285653,515715
sm_part12_20753,128,323430,571883
sm_part12_20753,160,353764,616783
sm_part12_20753,200,386045,664958
sm_part12_20753,256,422499,721407
sm_part12_20753,384,488045,818286
sm_part12_20753,512,537536,891930
sm_part12_20753,768,614885,1002317
sm_part12_20753,1024,675762,1086413
sm_part12_20753,1536,774466,1214294
sm_part12_20753,2048,854883,1317867
sm_part12_20753,3072,989892,1479420
sm_part12_20753,4096,1105648,1611886
sm_part12_20753,8192,1506723,1996075
sm_part3_31854,2,5459,50382
sm_part3_31854,4,15744,111963
sm_part3_31854,8,52699,186413
sm_part3_31854,12,81405,237901
sm_part3_31854,16,106340,277667
sm_part3_31854,24,147886,339278
sm_part3_31854,32,177107,387040
sm_part3_31854,48,221886,459687
sm_part3_31854,64,259162,515713
sm_part3_31854,96,317672,601995
sm_part3_31854,128,358561,667304
sm_part3_31854,160,390666,720251
sm_part3_31854,200,425461,777551
sm_part3_31854,256,466158,845666
sm_part3_31854,384,541020,966323
sm_part3_31854,512,598110,1059297
sm_part3_31854,768,686488,1200760
sm_part3_31854,1024,756754,1310172
sm_part3_31854,1536,868686,1485393
sm_part3_31854,2048,963456,1626286
sm_part3_31854,3072,1119588,1856737
sm_part3_31854,4096,1254071,2053780
sm_part3_31854,8192,1705134,2627914
sm_part1_170859,2,3681,66050
sm_part1_170859,4,9038,146703
sm_part1_170859,8,54984,248245
sm_part1_170859,12,95602,317569
sm_part1_170859,16,125061,372223
sm_part1_170859,24,171411,457425
sm_part1_170859,32,208377,520543
sm_part1_170859,48,264071,622465
sm_part1_170859,64,312589,699004
sm_part1_170859,96,384387,817343
sm_part1_170859,128,437208,908001
sm_part1_170859,160,478909,983814
sm_part1_170859,200,521317,1066535
sm_part1_170859,256,572343,1163462
sm_part1_170859,384,662792,1345858
sm_part1_170859,512,733692,1491465
sm_part1_170859,768,847149,1731405
sm_part1_170859,1024,938602,1928945
sm_part1_170859,1536,1086348,2257838
sm_part1_170859,2048,1209541,2549800
sm_part1_170859,3072,1415399,3049931
sm_part1_170859,4096,1590005,3505965
sm_part1_170859,8192,2156002,5082920
