instance,k,judicious,naive
59s,2,33,240
59s,4,129,673
59s,8,223,1520
59s,12,333,2291
59s,16,470,3051
59s,24,796,4148
59s,32,1160,5045
59s,48,1210,6083
59s,64,1210,6740
59s,96,1210,7606
59s,128,1210,7896
59s,160,1210,8449
59s,200,1210,8449
59s,256,1210,8449
59s,384,1210,8449
59s,512,1210,8449
59s,768,1210,8449
59s,1024,1210,8449
59s,1536,1210,8449
59s,2048,1210,8449
59s,3072,1210,8449
59s,4096,1210,8449
59s,8192,1210,8449
404s,2,669,996
404s,4,1631,2759
404s,8,3190,6148
404s,12,4675,9523
404s,16,6170,12870
404s,24,9138,19460
404s,32,12054,26165
404s,48,17993,38632
404s,64,24021,50203
404s,96,35832,68922
404s,128,41293,83492
404s,160,41293,96015
404s,200,41293,112802
404s,256,41293,132635
404s,384,41293,172563
404s,512,41293,210721
404s,768,41293,233851
404s,1024,41293,233851
404s,1536,41293,233851
404s,2048,41293,233851
404s,3072,41293,233851
404s,4096,41293,233851
404s,8192,41293,233851
128s,2,100,397
128s,4,411,1075
128s,8,873,2484
128s,12,1286,3851
128s,16,1726,5153
128s,24,2634,7052
128s,32,3451,8566
128s,48,5213,11215
128s,64,7035,13299
128s,96,8910,16641
128s,128,8910,18972
128s,160,8910,21083
128s,200,8910,24201
128s,256,8910,24534
128s,384,8910,24534
128s,512,8910,24534
128s,768,8910,24534
128s,1024,8910,24534
128s,1536,8910,24534
128s,2048,8910,24534
128s,3072,8910,24534
128s,4096,8910,24534
128s,8192,8910,24534
59l,2,375,959
59l,4,1013,2250
59l,8,1847,3823
59l,12,2337,5112
59l,16,2735,6151
59l,24,3441,8283
59l,32,4030,10029
59l,48,5043,13764
59l,64,5875,17134
59l,96,7340,23266
59l,128,8653,29345
59l,160,9802,34846
59l,200,11194,40714
59l,256,13401,48198
59l,384,18296,60860
59l,512,23214,70330
59l,768,34649,83598
59l,1024,44319,91682
59l,1536,44319,102298
59l,2048,44319,111218
59l,3072,44319,114226
59l,4096,44319,114226
59l,8192,44319,114226
404l,2,1955,2920
404l,4,5127,7889
404l,8,9738,14352
404l,12,12859,20180
404l,16,15572,25231
404l,24,20432,34859
404l,32,24516,44727
404l,48,31879,62410
404l,64,38770,79786
404l,96,51743,113360
404l,128,63563,144892
404l,160,74696,174314
404l,200,88368,204901
404l,256,107546,243947
404l,384,151576,318883
404l,512,196301,377883
404l,768,287278,477351
404l,1024,380680,557706
404l,1536,543860,680805
404l,2048,543860,802466
404l,3072,543860,828074
404l,4096,543860,828074
404l,8192,543860,828074
128l,2,1218,2370
128l,4,3435,5721
128l,8,6776,10578
128l,12,9522,14514
128l,16,11982,17695
128l,24,15358,23213
128l,32,18033,27949
128l,48,23036,36387
128l,64,26692,44117
128l,96,33084,58105
128l,128,38630,71094
128l,160,43357,83645
128l,200,48757,97136
128l,256,55950,114726
128l,384,70119,148296
128l,512,83054,175091
128l,768,109223,211171
128l,1024,134482,237183
128l,1536,187355,276936
128l,2048,241753,301207
128l,3072,315712,345940
128l,4096,315712,345940
128l,8192,315712,345940
sm_part24_11756,2,11690,30031
sm_part24_11756,4,28227,67555
sm_part24_11756,8,56561,113704
sm_part24_11756,12,75697,145961
sm_part24_11756,16,93055,170970
sm_part24_11756,24,120440,210494
sm_part24_11756,32,142064,240552
sm_part24_11756,48,172461,287547
sm_part24_11756,64,194426,323078
sm_part24_11756,96,233603,377325
sm_part24_11756,128,263684,418826
sm_part24_11756,160,288445,451606
sm_part24_11756,200,313672,486599
sm_part24_11756,256,343302,524958
sm_part24_11756,384,394566,590988
sm_part24_11756,512,432674,639120
sm_part24_11756,768,489686,709412
sm_part24_11756,1024,535270,760111
sm_part24_11756,1536,605583,838820
