instance,k,judicious,naive
sm_part24_11756,2048,664166,899291
sm_part24_11756,3072,768973,1001011
sm_part24_11756,4096,865270,1086005
sm_part24_11756,8192,1232067,1353655
sm_part12_20753,2,9994,42766
sm_part12_20753,4,22818,94976
sm_part12_20753,8,55459,158953
sm_part12_20753,12,82397,203433
sm_part12_20753,16,105147,237354
sm_part12_20753,24,139093,290442
sm_part12_20753,32,165764,331457
sm_part12_20753,48,205811,393870
sm_part12_20753,64,239546,442242
sm_part12_20753,96,289524,515715
sm_part12_20753,128,324295,571883
sm_part12_20753,160,354152,616783
sm_part12_20753,200,384724,664958
sm_part12_20753,256,420243,721407
sm_part12_20753,384,486458,818286
sm_part12_20753,512,536409,891930
sm_part12_20753,768,615667,1002317
sm_part12_20753,1024,676685,1086413
sm_part12_20753,1536,774806,1214294
sm_part12_20753,2048,856590,1317867
sm_part12_20753,3072,991097,1479420
sm_part12_20753,4096,1105580,1611886
sm_part12_20753,8192,1506986,1996075
sm_part3_31854,2,5605,50382
sm_part3_31854,4,15102,111963
sm_part3_31854,8,54692,186413
sm_part3_31854,12,82367,237901
sm_part3_31854,16,105474,277667
sm_part3_31854,24,145215,339278
sm_part3_31854,32,176090,387040
sm_part3_31854,48,218781,459687
sm_part3_31854,64,254737,515713
sm_part3_31854,96,312489,601995
sm_part3_31854,128,354556,667304
sm_part3_31854,160,388736,720251
sm_part3_31854,200,425766,777551
sm_part3_31854,256,468607,845666
sm_part3_31854,384,541790,966323
sm_part3_31854,512,599174,1059297
sm_part3_31854,768,688528,1200760
sm_part3_31854,1024,757512,1310172
sm_part3_31854,1536,869078,1485393
sm_part3_31854,2048,962530,1626286
sm_part3_31854,3072,1119932,1856737
sm_part3_31854,4096,1255241,2053780
sm_part3_31854,8192,1703657,2627914
sm_part1_170859,2,3700,66050
sm_part1_170859,4,9090,146703
sm_part1_170859,8,56857,248245
sm_part1_170859,12,91663,317569
sm_part1_170859,16,121167,372223
sm_part1_170859,24,168174,457425
sm_part1_170859,32,205937,520543
sm_part1_170859,48,259280,622465
sm_part1_170859,64,306592,699004
sm_part1_170859,96,379276,817343
sm_part1_170859,128,435636,908001
sm_part1_170859,160,476419,983814
sm_part1_170859,200,521913,1066535
sm_part1_170859,256,574396,1163462
sm_part1_170859,384,665573,1345858
sm_part1_170859,512,738788,1491465
sm_part1_170859,768,853402,1731405
sm_part1_170859,1024,943135,1928945
sm_part1_170859,1536,1089860,2257838
sm_part1_170859,2048,1211426,2549800
sm_part1_170859,3072,1415709,3049931
sm_part1_170859,4096,1590291,3505965
sm_part1_170859,8192,2154623,5082920
