instance,k,judicious,naive,lowerbound
sm_part24_11756,12,19831,21627,8309
sm_part24_11756,16,16281,17841,6232
sm_part24_11756,24,13027,13637,4154
sm_part24_11756,32,10792,11278,3116
sm_part24_11756,48,8634,8568,2077
sm_part24_11756,64,7238,7069,1558
sm_part24_11756,96,5764,5383,1038
sm_part24_11756,128,4678,4353,779
sm_part24_11756,160,4114,3750,623
sm_part24_11756,200,3370,3233,498
sm_part24_11756,256,2835,2727,389
sm_part24_11756,384,2175,2069,259
sm_part24_11756,512,1801,1662,194
sm_part24_11756,768,1383,1284,142
sm_part24_11756,1024,1160,1019,142
sm_part24_11756,1536,914,758,142
sm_part24_11756,2048,779,599,142
sm_part24_11756,3072,606,433,142
sm_part24_11756,4096,490,336,142
sm_part24_11756,8192,263,239,142
sm_part12_20753,2,97381,107381,81757
sm_part12_20753,4,59096,68598,40878
sm_part12_20753,8,35200,43211,20439
sm_part12_20753,12,24042,32765,13626
sm_part12_20753,16,22586,26971,10219
sm_part12_20753,24,17414,20497,6813
sm_part12_20753,32,15264,16926,5109
sm_part12_20753,48,12032,12765,3406
sm_part12_20753,64,9717,10439,2554
sm_part12_20753,96,7557,7752,1703
sm_part12_20753,128,6111,6346,1277
sm_part12_20753,160,5289,5530,1021
sm_part12_20753,200,4587,4666,817
sm_part12_20753,256,3861,4005,638
sm_part12_20753,384,2995,2994,425
sm_part12_20753,512,2492,2541,319
sm_part12_20753,768,1900,1889,212
sm_part12_20753,1024,1564,1543,159
sm_part12_20753,1536,1179,1194,142
sm_part12_20753,2048,953,968,142
sm_part12_20753,3072,714,712,142
sm_part12_20753,4096,576,621,142
sm_part12_20753,8192,338,350,142
sm_part3_31854,2,138275,123077,92831
sm_part3_31854,4,64898,80284,46415
sm_part3_31854,8,35726,50673,23207
sm_part3_31854,12,28559,38568,15471
sm_part3_31854,16,25316,31741,11603
sm_part3_31854,24,18366,24180,7735
sm_part3_31854,32,16572,19572,5801
sm_part3_31854,48,12988,15003,3867
sm_part3_31854,64,10741,12108,2900
sm_part3_31854,96,8166,9241,1933
sm_part3_31854,128,6567,7745,1450
sm_part3_31854,160,5720,6697,1160
sm_part3_31854,200,4813,5784,928
sm_part3_31854,256,4127,4739,725
sm_part3_31854,384,3196,3693,483
sm_part3_31854,512,2629,3050,362
sm_part3_31854,768,2045,2273,241
sm_part3_31854,1024,1689,1876,181
sm_part3_31854,1536,1279,1508,142
sm_part3_31854,2048,1040,1236,142
sm_part3_31854,3072,762,968,142
sm_part3_31854,4096,608,795,142
sm_part3_31854,8192,356,460,142
sm_part1_170859,2,138783,140501,98418
sm_part1_170859,4,61788,104898,49209
sm_part1_170859,8,42086,69451,24604
sm_part1_170859,12,31038,54092,16403
sm_part1_170859,16,26200,45521,12302
sm_part1_170859,24,21920,35322,8201
sm_part1_170859,32,17962,29158,6151
sm_part1_170859,48,14132,22815,4100
sm_part1_170859,64,11711,19302,3075
sm_part1_170859,96,8798,15488,2050
sm_part1_170859,128,7450,13491,1537
sm_part1_170859,160,6505,11900,1230
sm_part1_170859,200,5632,10259,984
sm_part1_170859,256,4915,8734,768
sm_part1_170859,384,3848,6868,512
sm_part1_170859,512,3252,5523,384
sm_part1_170859,768,2536,4453,256
sm_part1_170859,1024,2101,3754,192
sm_part1_170859,1536,1604,2880,142
sm_part1_170859,2048,1294,2609,142
sm_part1_170859,3072,940,2071,142
sm_part1_170859,4096,738,1809,142
sm_part1_170859,8192,419,1233,142
