instance,k,judicious,naive,lowerbound
59s,2,452,467,335
59s,4,252,440,167
59s,8,164,383,83
59s,12,139,383,57
59s,16,113,377,57
59s,24,82,300,57
59s,32,64,243,57
59s,48,57,212,57
59s,64,57,163,57
59s,96,57,111,57
59s,128,57,110,57
59s,160,57,57,57
59s,200,57,57,57
59s,256,57,57,57
59s,384,57,57,57
59s,512,57,57,57
59s,768,57,57,57
59s,1024,57,57,57
59s,1536,57,57,57
59s,2048,57,57,57
59s,3072,57,57,57
59s,4096,57,57,57
59s,8192,57,57,57
404s,2,1629,1913,1262
404s,4,1111,1448,631
404s,8,957,1290,402
404s,12,820,1185,402
404s,16,756,1155,402
404s,24,641,1033,402
404s,32,596,1040,402
404s,48,516,1003,402
404s,64,461,992,402
404s,96,422,909,402
404s,128,402,840,402
404s,160,402,840,402
404s,200,402,694,402
404s,256,402,694,402
404s,384,402,548,402
404s,512,402,548,402
404s,768,402,402,402
404s,1024,402,402,402
404s,1536,402,402,402
404s,2048,402,402,402
404s,3072,402,402,402
404s,4096,402,402,402
404s,8192,402,402,402
128s,2,667,883,585
128s,4,495,614,292
128s,8,347,498,146
128s,12,303,466,126
128s,16,267,437,126
128s,24,224,411,126
128s,32,201,406,126
128s,48,160,381,126
128s,64,142,321,126
128s,96,126,278,126
128s,128,126,209,126
128s,160,126,210,126
128s,200,126,202,126
128s,256,126,126,126
128s,384,126,126,126
128s,512,126,126,126
128s,768,126,126,126
128s,1024,126,126,126
128s,1536,126,126,126
128s,2048,126,126,126
128s,3072,126,126,126
128s,4096,126,126,126
128s,8192,126,126,126
59l,2,5636,6764,5102
59l,4,4044,3745,2551
59l,8,2171,2622,1275
59l,12,1559,1929,850
59l,16,1124,1498,637
59l,24,908,1185,425
59l,32,679,1019,318
59l,48,491,761,212
59l,64,408,720,159
59l,96,313,530,106
59l,128,258,453,79
59l,160,226,443,63
59l,200,201,381,57
59l,256,175,332,57
59l,384,133,274,57
59l,512,103,255,57
59l,768,70,169,57
59l,1024,58,169,57
59l,1536,58,113,57
59l,2048,58,113,57
59l,3072,58,57,57
59l,4096,58,57,57
59l,8192,58,57,57
404l,2,23208,26585,20324
404l,4,14580,16859,10162
404l,8,8296,9720,5081
404l,12,6258,7054,3387
404l,16,5796,5791,2540
404l,24,3889,4592,1693
404l,32,3046,3770,1270
404l,48,2255,3121,846
404l,64,1819,2858,635
404l,96,1441,2310,423
404l,128,1203,2111,402
404l,160,1065,1901,402
404l,200,954,1830,402
404l,256,857,1504,402
404l,384,728,1486,402
404l,512,654,1242,402
404l,768,545,952,402
404l,1024,475,950,402
404l,1536,402,677,402
404l,2048,402,677,402
404l,3072,402,402,402
404l,4096,402,402,402
404l,8192,402,402,402
128l,2,14245,13177,11809
128l,4,8278,7848,5904
128l,8,5143,4795,2952
128l,12,4010,3601,1968
128l,16,2976,2987,1476
128l,24,2242,2504,984
128l,32,1883,2242,738
128l,48,1407,1875,492
128l,64,1155,1696,369
128l,96,937,1474,246
128l,128,771,1099,184
128l,160,660,1000,147
128l,200,580,992,126
128l,256,501,823,126
128l,384,413,664,126
128l,512,360,605,126
128l,768,300,446,126
128l,1024,258,369,126
128l,1536,204,252,126
128l,2048,165,252,126
128l,3072,127,126,126
128l,4096,127,126,126
128l,8192,127,126,126
sm_part24_11756,2,79540,67491,49856
sm_part24_11756,4,47206,43606,24928
sm_part24_11756,8,26136,28112,12464
sm_part24_11756,12,18238,21627,8309
sm_part24_11756,16,16215,17841,6232
sm_part24_11756,24,12844,13637,4154
sm_part24_11756,32,10689,11278,3116
sm_part24_11756,48,8680,8568,2077
sm_part24_11756,64,7657,7069,1558
sm_part24_11756,96,6234,5383,1038
sm_part24_11756,128,5076,4353,779
sm_part24_11756,160,4354,3750,623
sm_part24_11756,200,3673,3233,498
sm_part24_11756,256,2929,2727,389
sm_part24_11756,384,2198,2069,259
sm_part24_11756,512,1817,1662,194
sm_part24_11756,768,1385,1284,142
sm_part24_11756,1024,1159,1019,142
sm_part24_11756,1536,915,758,142
sm_part24_11756,2048,768,599,142
sm_part24_11756,3072,598,433,142
sm_part24_11756,4096,487,336,142
sm_part24_11756,8192,263,239,142
sm_part12_20753,2,96705,107381,81757
sm_part12_20753,4,58815,68598,40878
sm_part12_20753,8,34900,43211,20439
sm_part12_20753,12,29110,32765,13626
sm_part12_20753,16,22410,26971,10219
sm_part12_20753,24,18632,20497,6813
sm_part12_20753,32,13772,16926,5109
sm_part12_20753,48,11259,12765,3406
sm_part12_20753,64,9214,10439,2554
sm_part12_20753,96,7218,7752,1703
sm_part12_20753,128,5941,6346,1277
sm_part12_20753,160,5186,5530,1021
sm_part12_20753,200,4414,4666,817
sm_part12_20753,256,3771,4005,638
sm_part12_20753,384,2859,2994,425
sm_part12_20753,512,2423,2541,319
sm_part12_20753,768,1857,1889,212
sm_part12_20753,1024,1538,1543,159
sm_part12_20753,1536,1157,1194,142
sm_part12_20753,2048,940,968,142
sm_part12_20753,3072,704,712,142
sm_part12_20753,4096,571,621,142
sm_part12_20753,8192,337,350,142
sm_part3_31854,2,138260,123077,92831
sm_part3_31854,4,64824,80284,46415
sm_part3_31854,8,37017,50673,23207
sm_part3_31854,12,27182,38568,15471
sm_part3_31854,16,26274,31741,11603
sm_part3_31854,24,19800,24180,7735
sm_part3_31854,32,16001,19572,5801
sm_part3_31854,48,12481,15003,3867
sm_part3_31854,64,10693,12108,2900
sm_part3_31854,96,8241,9241,1933
sm_part3_31854,128,6771,7745,1450
sm_part3_31854,160,5841,6697,1160
sm_part3_31854,200,4981,5784,928
sm_part3_31854,256,4210,4739,725
sm_part3_31854,384,3166,3693,483
sm_part3_31854,512,2643,3050,362
sm_part3_31854,768,2058,2273,241
sm_part3_31854,1024,1707,1876,181
sm_part3_31854,1536,1292,1508,142
sm_part3_31854,2048,1044,1236,142
sm_part3_31854,3072,762,968,142
sm_part3_31854,4096,606,795,142
sm_part3_31854,8192,356,460,142
sm_part1_170859,2,139123,140501,98418
sm_part1_170859,4,62142,104898,49209
sm_part1_170859,8,41380,69451,24604
sm_part1_170859,12,34315,54092,16403
sm_part1_170859,16,27028,45521,12302
sm_part1_170859,24,21874,35322,8201
sm_part1_170859,32,18270,29158,6151
sm_part1_170859,48,13812,22815,4100
sm_part1_170859,64,11844,19302,3075
sm_part1_170859,96,9292,15488,2050
sm_part1_170859,128,7791,13491,1537
sm_part1_170859,160,6780,11900,1230
sm_part1_170859,200,5915,10259,984
sm_part1_170859,256,4967,8734,768
sm_part1_170859,384,3886,6868,512
sm_part1_170859,512,3203,5523,384
sm_part1_170859,768,2447,4453,256
sm_part1_170859,1024,2060,3754,192
sm_part1_170859,1536,1575,2880,142
sm_part1_170859,2048,1289,2609,142
sm_part1_170859,3072,939,2071,142
sm_part1_170859,4096,738,1809,142
sm_part1_170859,8192,419,1233,142
