instance,k,judicious,naive
sm_part24_11756,4096,865553,1086005
sm_part24_11756,8192,1231034,1353655
sm_part12_20753,2,11133,42766
sm_part12_20753,4,22729,94976
sm_part12_20753,8,54980,158953
sm_part12_20753,12,80771,203433
sm_part12_20753,16,102474,237354
sm_part12_20753,24,138121,290442
sm_part12_20753,32,165704,331457
sm_part12_20753,48,207695,393870
sm_part12_20753,64,237867,442242
sm_part12_20753,96,287107,515715
sm_part12_20753,128,325220,571883
sm_part12_20753,160,357631,616783
sm_part12_20753,200,389393,664958
sm_part12_20753,256,427396,721407
sm_part12_20753,384,490217,818286
sm_part12_20753,512,540502,891930
sm_part12_20753,768,616332,1002317
sm_part12_20753,1024,678088,1086413
sm_part12_20753,1536,775948,1214294
sm_part12_20753,2048,857437,1317867
sm_part12_20753,3072,990330,1479420
sm_part12_20753,4096,1105696,1611886
sm_part12_20753,8192,1507441,1996075
sm_part3_31854,2,5535,50382
sm_part3_31854,4,15040,111963
sm_part3_31854,8,54156,186413
sm_part3_31854,12,82022,237901
sm_part3_31854,16,105364,277667
sm_part3_31854,24,144927,339278
sm_part3_31854,32,176490,387040
sm_part3_31854,48,222059,459687
sm_part3_31854,64,257283,515713
sm_part3_31854,96,311481,601995
sm_part3_31854,128,354654,667304
sm_part3_31854,160,388205,720251
sm_part3_31854,200,427624,777551
sm_part3_31854,256,470356,845666
sm_part3_31854,384,544087,966323
sm_part3_31854,512,598410,1059297
sm_part3_31854,768,686591,1200760
sm_part3_31854,1024,756907,1310172
sm_part3_31854,1536,869228,1485393
sm_part3_31854,2048,963011,1626286
sm_part3_31854,3072,1119111,1856737
sm_part3_31854,4096,1253948,2053780
sm_part3_31854,8192,1702995,2627914
sm_part1_170859,2,3843,66050
sm_part1_170859,4,9208,146703
sm_part1_170859,8,57803,248245
sm_part1_170859,12,89296,317569
sm_part1_170859,16,121650,372223
sm_part1_170859,24,169416,457425
sm_part1_170859,32,208941,520543
sm_part1_170859,48,264953,622465
sm_part1_170859,64,310171,699004
sm_part1_170859,96,378513,817343
sm_part1_170859,128,431642,908001
sm_part1_170859,160,475793,983814
sm_part1_170859,200,520541,1066535
sm_part1_170859,256,572092,1163462
sm_part1_170859,384,669373,1345858
sm_part1_170859,512,741569,1491465
sm_part1_170859,768,854217,1731405
sm_part1_170859,1024,942710,1928945
sm_part1_170859,1536,1090198,2257838
sm_part1_170859,2048,1210192,2549800
sm_part1_170859,3072,1416201,3049931
sm_part1_170859,4096,1590322,3505965
sm_part1_170859,8192,2157008,5082920
