instance,k,judicious,naive,lowerbound
sm_part1_170859,128,7594,13491,1537
sm_part1_170859,160,6574,11900,1230
sm_part1_170859,200,5754,10259,984
sm_part1_170859,256,4912,8734,768
sm_part1_170859,384,3866,6868,512
sm_part1_170859,512,3249,5523,384
sm_part1_170859,768,2515,4453,256
sm_part1_170859,1024,2104,3754,192
sm_part1_170859,1536,1595,2880,142
sm_part1_170859,2048,1293,2609,142
sm_part1_170859,3072,939,2071,142
sm_part1_170859,4096,738,1809,142
sm_part1_170859,8192,419,1233,142
