instance,k,judicious,naive
sm_part24_11756,4096,863824,1086005
sm_part24_11756,8192,1232044,1353655
sm_part12_20753,2,11230,42766
sm_part12_20753,4,23095,94976
sm_part12_20753,8,55994,158953
sm_part12_20753,12,82079,203433
sm_part12_20753,16,104826,237354
sm_part12_20753,24,140157,290442
sm_part12_20753,32,165656,331457
sm_part12_20753,48,206795,393870
sm_part12_20753,64,239076,442242
sm_part12_20753,96,286085,515715
sm_part12_20753,128,322318,571883
sm_part12_20753,160,350256,616783
sm_part12_20753,200,382255,664958
sm_part12_20753,256,419924,721407
sm_part12_20753,384,485643,818286
sm_part12_20753,512,536774,891930
sm_part12_20753,768,614489,1002317
sm_part12_20753,1024,675250,1086413
sm_part12_20753,1536,773431,1214294
sm_part12_20753,2048,855098,1317867
sm_part12_20753,3072,989595,1479420
sm_part12_20753,4096,1103393,1611886
sm_part12_20753,8192,1507742,1996075
sm_part3_31854,2,5459,50382
sm_part3_31854,4,15235,111963
sm_part3_31854,8,55522,186413
sm_part3_31854,12,81408,237901
sm_part3_31854,16,107025,277667
sm_part3_31854,24,144579,339278
sm_part3_31854,32,175146,387040
sm_part3_31854,48,221246,459687
sm_part3_31854,64,256932,515713
sm_part3_31854,96,312803,601995
sm_part3_31854,128,357519,667304
sm_part3_31854,160,392099,720251
sm_part3_31854,200,429806,777551
sm_part3_31854,256,470699,845666
sm_part3_31854,384,542752,966323
sm_part3_31854,512,598974,1059297
sm_part3_31854,768,687325,1200760
sm_part3_31854,1024,757492,1310172
sm_part3_31854,1536,869128,1485393
sm_part3_31854,2048,962399,1626286
sm_part3_31854,3072,1118899,1856737
sm_part3_31854,4096,1253556,2053780
sm_part3_31854,8192,1705015,2627914
sm_part1_170859,2,3708,66050
sm_part1_170859,4,9028,146703
sm_part1_170859,8,58554,248245
sm_part1_170859,12,94824,317569
sm_part1_170859,16,123791,372223
sm_part1_170859,24,173139,457425
sm_part1_170859,32,212894,520543
sm_part1_170859,48,269517,622465
sm_part1_170859,64,314989,699004
sm_part1_170859,96,382745,817343
sm_part1_170859,128,434267,908001
sm_part1_170859,160,476004,983814
sm_part1_170859,200,520947,1066535
sm_part1_170859,256,573179,1163462
sm_part1_170859,384,664285,1345858
sm_part1_170859,512,737618,1491465
sm_part1_170859,768,848160,1731405
sm_part1_170859,1024,939403,1928945
sm_part1_170859,1536,1084796,2257838
sm_part1_170859,2048,1207286,2549800
sm_part1_170859,3072,1414396,3049931
sm_part1_170859,4096,1590134,3505965
sm_part1_170859,8192,2154294,5082920
